Date,MoonPhase,Season,Month,PoyaName,PakkhaType,special
2031-03-22,NewMoon,Gimhana,Citta,Citta,15,
2031-04-06,FullMoon,Gimhana,Citta,Vesākha,15,
2031-04-20,NewMoon,Gimhana,Adhivesakha,Vesākha,14,
2031-05-05,FullMoon,Gimhana,Adhivesakha,Jeṭṭha,15,
2031-05-20,NewMoon,Gimhana,Vesakha,Jeṭṭha,15,
2031-06-04,FullMoon,Gimhana,Vesakha,Āsāḷha,15,
2031-06-18,NewMoon,Gimhana,Jettha,Āsāḷha,14,
2031-07-03,FullMoon,Gimhana,Jettha,Sāvana,15,
2031-07-18,NewMoon,Gimhana,Asalha,Sāvana,15,
2031-08-02,FullMoon,Gimhana,Asalha,Poṭṭhapāda,15,
2031-08-03,,Vassana,Savana,Sāvana,1,Purimikā vassūpanāyikā  
2031-08-17,NewMoon,Vassana,Savana,Sāvana,15,
2031-09-01,FullMoon,Vassana,Savana,Sāvana,15,
2031-09-02,,Vassana,Potthapada,Potthapada,1,Pacchimikā vassūpanāyikā  
2031-09-15,NewMoon,Vassana,Potthapada,Poṭṭhapāda,14,
2031-09-30,FullMoon,Vassana,Potthapada,Poṭṭhapāda,15,
2031-10-15,NewMoon,Vassana,Assayuja,Assayuja,15,
2031-10-30,FullMoon,Vassana,Assayuja,Assayuja,15,Purimikā Pavāraṇā
2031-11-13,NewMoon,Vassana,Kattika,Kattika,14,
2031-11-28,FullMoon,Vassana,Kattika,Kattika,15,Pacchimikā Pavāraṇā
2031-12-13,NewMoon,Hemanta,Maghasira,Phussa,15,
2031-12-28,FullMoon,Hemanta,Maghasira,Phussa,15,
2032-01-11,NewMoon,Hemanta,Phussa,Māgha,14,
2032-01-26,FullMoon,Hemanta,Phussa,Phagguna,15,
2032-02-10,NewMoon,Hemanta,Magha,Phagguna,15,
2032-02-25,FullMoon,Hemanta,Magha,Citta,15,
2032-03-10,NewMoon,Hemanta,Phagguna,Citta,14,
2032-03-25,FullMoon,Hemanta,Phagguna,Citta,15,
2032-04-09,NewMoon,Gimhana,Citta,Adhivesākha,15,
2032-04-24,FullMoon,Gimhana,Citta,Adhivesākha,15,
2032-05-08,NewMoon,Gimhana,Vesakha,Vesākha,14,
2032-05-23,FullMoon,Gimhana,Vesakha,Vesākha,15,
2032-06-07,NewMoon,Gimhana,Jettha,Jeṭṭha,15,
2032-06-22,FullMoon,Gimhana,Jettha,Jeṭṭha,15,
2032-07-07,NewMoon,Gimhana,Asalha,Āsāḷha,15,
2032-07-22,FullMoon,Gimhana,Asalha,Āsāḷha,15,
2030-07-23,,Vassana,Savana,Sāvana,1,Purimikā vassūpanāyikā  
2032-08-06,NewMoon,Vassana,Savana,Sāvana,15,
2032-08-21,FullMoon,Vassana,Savana,Sāvana,15,
2032-08-22,,Vassana,Potthapada,Potthapada,1,Pacchimikā vassūpanāyikā  
2032-09-04,NewMoon,Vassana,Potthapada,Poṭṭhapāda,14,
2032-09-19,FullMoon,Vassana,Potthapada,Poṭṭhapāda,15,
2032-10-04,NewMoon,Vassana,Assayuja,Assayuja,15,
2032-10-19,FullMoon,Vassana,Assayuja,Assayuja,15,Purimikā Pavāraṇā
2032-11-02,NewMoon,Vassana,Kattika,Kattika,14,
2032-11-17,FullMoon,Vassana,Kattika,Kattika,15,Pacchimikā Pavāraṇā
2032-12-02,NewMoon,Hemanta,Maghasira,Māghasira,15,
2032-12-17,FullMoon,Hemanta,Maghasira,Māghasira,15,
2032-12-31,NewMoon,Hemanta,Phussa,Māghasira,14,
2033-01-15,FullMoon,Hemanta,Phussa,Māgha,15,
2033-01-30,NewMoon,Hemanta,Magha,Māgha,15,
